"AOU","rmse_occ","AUC","rmse_pres","AUC_pres","rmse_gam","AUC_gam","rmse_gam_pres","AUC_gam_pres","rmse_rf","AUC_RF","rmse_rf_pres","AUC_RF_pres","rmse_me_pres","AUC_me_pres"
6100,0.306798068766869,0.60433912803532,0.379583229711379,0.610944268784544,0.296784667818264,0.691501103752759,0.372083893893676,0.682553341134293,0.302547918427017,0.546530077262693,0.375645500901755,0.679721343922721,0.536403189268313,0.687115657521287
6110,0.261853952732385,0.641163340336134,0.363709836460366,0.601094283867393,0.254014339297815,0.584952731092437,0.35378334892591,0.704159202142395,0.256090018242156,0.477297794117647,0.359359612929194,0.714966755933143,0.539744842718098,0.696990488503094
6120,0.246544114895698,0.658476958806992,0.354409933551049,0.646696633495837,0.239938866535237,0.615843876054272,0.347547538740765,0.685871823222931,0.239663938800758,0.662648209265371,0.3440006877255,0.72197703590156,0.51796346744003,0.69990660233536
6130,0.343191089093886,0.627305653050556,0.378736959972738,0.593819292314083,0.337008214351583,0.590825927861997,0.372139825810813,0.659558663337566,0.337451268137148,0.535284892838474,0.373038653052929,0.687366258489748,0.545107563250379,0.674064357256325
6140,0.287227326035682,0.485725141120278,0.380687871995192,0.623413465966657,0.27816573681587,0.610079847541854,0.374468749094125,0.674583729902879,0.278746390710394,0.532246586577894,0.370200356589772,0.723323918004769,0.533751656114347,0.681467665510219
6150,0.232334940949132,0.472641685309471,0.327227271790619,0.634179890500091,0.221571515152891,0.47102597564007,0.319329958371984,0.717243724233327,0.231565399950277,0.567222843649018,0.328507168583897,0.702254137156943,0.532539550079384,0.705242781467701
6160,0.135592434933372,0.605168418241813,0.284292756083291,0.623130542447203,0.130951725289839,0.663881153560053,0.277800896396842,0.720675101776346,0.135477071936637,0.696313109157146,0.280597163432862,0.724703461023615,0.537564545740546,0.704611893705563
6170,0.188652208041388,0.50794217758541,0.359078563961059,0.613881148656139,0.184947522599772,0.486773542883557,0.355634738917265,0.657260604258836,0.18760045068686,0.556058799428499,0.356351111074,0.687531912713689,0.552053059726965,0.664310374655259
6190,0.295150269174215,0.553397846650102,0.372519445048071,0.693541567607057,0.286248445670928,0.548581142931869,0.362713619495954,0.734590021445395,0.289363219668462,0.608430321258882,0.359877837509771,0.746624117820749,0.491793872948902,0.739459942026735
6220,0.152930214147557,0.516997397527651,0.28101404351171,0.6961457341428,0.147739868772902,0.490771292251448,0.275341665319495,0.741682537152016,0.152517145671068,0.532492177092047,0.282941797711147,0.732692373980447,0.499631588493776,0.742928837030941
